platkey,platName
8877,adsolut.in
8888,alirhbf.com
8889,alpineinteractivegroup.com
8892,amitydigital.io
8893,ampliffy.com
8899,apester.com
8900,app-stock.com
8907,audiate.me
8909,audigentmedia.com
8911,bat-ads.com
8919,bold-win.com
8923,chartboost.com
8924,cmcm.com
8931,ctvbuyer.com
8932,decenterads.com
8934,digimedllc.com
8942,elixirvideo.co
8949,ezmob.com
8951,filmzie.com
8954,gamoshi.io
8956,glewed.tv
8959,growintech.co
8962,hax.ortb.net
8963,hyperad.tech
8971,instreamatic.com
8972,iqzone.com
8975,kubient.com
8977,leanback.digital
8992,media16.tv
8994,meitu.com
8996,metaxads.com
9000,mobimight.com
9001,mobupps.com
9004,my-cast.tv
9017,peak226.com
9018,playstream.media
9019,playwire.com
9026,purealphaventures.com
9027,recruemedia.com
9028,reforge.in
9029,resetdigital.co
9031,rhebus.works
9039,sabio.us
9051,smartivi.ai
9064,ssp.bidscube.com
9066,stitchvideo.tv
9068,streambidmedia.com
9069,streamkey.tv
9077,tappx.com
9085,themediasense.com
9087,tpmn.io
9096,tvscientific.com
9097,ubrikvideo.com
9102,v2vadserv.com
9103,venatus.com
9108,videobridge.tv
9114,vrtcal.com
9122,yandex.com
9650,pubgalaxy.com
9676,thisisdax.com
9693,ad.plus
9696,adrep.io
9723,groupm.com
9743,mopub.com
10112,x.fidelity-media.com
10421,velismedia.com
10507,display.io
10599,taddleads.com
11068,publiffy.com
11360,chicoryapp.com
11373,mediavine.com
12816,cgnl.io
12824,dashbida.com
12859,onebyaol.com
12865,potxchange.com
12890,streamrail.com
13778,freestar.com
13841,triple13.io
13844,truex.com
13846,turf.digital
13861,zedo.com
13875,badiversitynetwork.com
13894,interactiveoffers.com
15603,yourbow.com
15977,adxoo.com
16034,nsightvideo.com
17402,bidstreammedia.com
17430,jfacassoc.com
18728,adpushup.com
18729,adriver.ru
18735,adwmg.com
18750,azeriondigital.com
18758,condigolabs.com
18778,gingerad.com
18779,good.ad
18784,impactify.io
18804,missena.com
18816,otm-r.com
18831,seedtag.com
18838,smartstream.tv
18851,sublime.xyz
18860,themoneytizer.com
18866,unblockia.com
21328,evergreenlift.com
21350,monumetric.com
21364,roimediaconsultants.com
21412,adnuro.com
21429,ardenodemedia.com
21430,balloonlabs.ai
21431,connekt.ai
21455,mobileapplied.com
21462,plista.com
21469,rogerssportsandmedia.com
22290,bliink.io
22319,gothamads.com
22365,piximedia.com
22371,qwarry.com
22401,ssp.logan.ai
22419,trmqb.com
23306,excellenceadvertising.com
23314,instal.com
23495,adsnative.com
23514,getpolymorph.com
23525,pubmine.com
23829,adocean-global.com
23834,adtarget.com.tr
23847,algorix.co
23907,ezoic.ai
23967,projectagora.com
23977,reklamstore.com
23978,rekmob.com
24009,sparcmedia.com
24018,ssp.decenterads.com
24059,viewdeos.com
25305,adverty.com
25332,bidscube.com
25366,exchange.admazing.co
25371,gitberry.com
25378,hyprmx.com
25392,jungroup.com
25394,kidoz.net
25399,liftoff.io
25426,olaex.biz
25427,omnifytv.com
25428,onairglobal.com
25440,prequel.tv
25447,quantumdex.io
25460,se7en.es
25485,ssp.smartyads.com
25487,start.io
25517,unity.com
25518,unrulymedia.com
25525,videoheroes.tv
25528,vungle.com
25668,featureforward.com
25696,pulsepoint.com
25717,thetimmedia.com
26081,oko.uk
29241,dianomi.com
29244,dynadmic.com
29245,dyntrk.com
29248,foxtelmedia.com.au
29269,nglcollective.com
29273,playground.xyz
29277,rhythomeone.com
29288,spotexchange.com
29642,1amemevideoad.com
29662,andbeyond.media
29674,atomx.com
34010,adaptv.com
34114,proper.io
38065,dochase.com
38103,open.com
38390,apacdex.com
38398,automatad.com
38420,crimtan.com
38435,gammassp.com
38441,houseofpubs.com
38451,interdogmedia.com
38489,podium-audio.com
38496,quantcast.com
38531,ssphwy.com
38544,theagency.com
38547,thetradedesk.com
38566,vuukle.com
39796,concept.dk
39799,converge-digital.com
39810,footballco.com
39825,inskinmedia.com
39840,pgamssp.com
39860,snigelweb.com
39872,superawesome.tv
39895,widespace.com
40154,genieesspv.jp
40166,invamia.com
40168,konektimedia.com
40190,prodooh.com
40194,pubnx.com
40604,freestar.io
41973,136839spotx.tv
42860,adexchange.com
43402,ads.cordlessmedia.com
43634,videoffy.com
48204,addroplet.com
48226,airnowplatform.com
48242,arkeero.net
48243,atlas5.co
48256,chitika.net
48283,foxpush.com
48401,vdo.ai
48411,walletcircle.co
48412,westseven.media
52225,impact-ad.jp
54533,adblade.com
54536,anthemx.tv
54667,ezoic.com
56297,ssp.tidok.com
56364,indexechange.com
56713,across.com
56777,lbdp.us
56797,onepath.ai
57182,cafemedia.com
57430,indexexchance.com
57872,goatmedia.us
57895,rtb.modulates.com
57920,vibrantmedia.com
59368,soldbyphonder.com
60103,aceadtech.com
60139,displayconversantmedia.com
60140,displayopenx.com
60219,yahoo..com
64394,christianpost.com
67247,lifestreet.com
67255,mediamath.com
67267,project-limelight.com
67387,madadsmedia.com
76690,remixd.com
78462,popin.cc
78501,twiago.com
79293,hitapps.com
80634,adops.com
88543,aditude.io
88607,monetizego.com
88670,​advertising.com
89018,infy.tv
89022,itn-digital.com
92884,saharmedia.net
92907,zeststack.com
104109,adplugg.com
124237,adhigh.net
124274,getintent.com
124299,powerinbox.com
124311,sciencenotes.org
124342,worksheetplace.com
125548,theadengine.com
126167,tout.com
127613,adnimation.com
128760,air.tv
128790,kueez.com
133501,allrecipes.com
133506,bhg.com
133510,cookinglight.com
133513,eatingwell.com
133514,eatthis.com
133517,ew.com
133518,foodandwine.com
133522,health.com
133523,hellogiggles.com
133526,instyle.com
133530,marthastewart.com
133533,midwestliving.com
133534,myrecipes.com
